osmid,x,y
906440144,77.3147262,28.6176608
906440146,77.3155321,28.61751
906440149,77.3149208,28.6159273
906440153,77.3166543,28.6168142
906440158,77.3105887,28.615014
906440160,77.3136633,28.6152068
906440162,77.3127744,28.6163342
906440163,77.3109589,28.622912
906440165,77.3147246,28.6164917
906440167,77.3130047,28.6157311
906440168,77.315288,28.6148835
906440169,77.3145202,28.6170298
906440171,77.3121309,28.6161458
906440175,77.3142934,28.6145902
906440176,77.3157952,28.616812
906440177,77.3131796,28.6152453
906440178,77.3120055,28.61332
906440181,77.3174876,28.6166784
906440184,77.3140212,28.614281
906440185,77.313705,28.6138208
906440187,77.3106535,28.6148467
906440191,77.3150382,28.6156149
906440193,77.3138557,28.6166509
906440194,77.3153996,28.6178615
906440199,77.3104155,28.6154616
906440201,77.3126736,28.6147039
906440203,77.3137315,28.6169765
906440204,77.3151865,28.6154513
906440206,77.3121803,28.6145563
906440210,77.3110988,28.6136129
906440212,77.3160642,28.6141625
906440215,77.3107736,28.6145364
906440217,77.3159444,28.616416
906440218,77.3173309,28.6172712
906440220,77.3153732,28.6146797
906440221,77.3136052,28.6153707
906440222,77.3161361,28.6139746
906440224,77.3139724,28.6179837
906440225,77.3152129,28.6163864
906440226,77.3112218,28.6132718
906440228,77.317305,28.6164619
906440234,77.314976,28.6147933
906440235,77.3135987,28.6173248
906440236,77.3164008,28.615205
906440238,77.3112558,28.6142797
906538798,77.3175511,28.6191333
906538803,77.3175055,28.6198578
906538814,77.3163992,28.6198424
906538815,77.3180305,28.6236438
906538817,77.3156975,28.6245299
906538826,77.319389,28.6200937
906538828,77.3156516,28.6205664
906538829,77.3173604,28.6202326
906538831,77.3183839,28.6175862
906538836,77.3181141,28.618284
906538838,77.3179063,28.6239685
906538844,77.3200665,28.6183211
906538845,77.3169829,28.6212082
906538847,77.3168172,28.6198368
906538848,77.3072744,28.6222308
906538849,77.3162211,28.6250555
906538853,77.3168521,28.6215463
906538854,77.318025,28.6204297
906538859,77.3065829,28.6233365
906538860,77.310285,28.6225765
906538862,77.3056243,28.6222297
906538863,77.3154392,28.6251972
906538864,77.3189287,28.6212957
906538867,77.3160438,28.6196449
906538869,77.317681,28.6194019
906538870,77.3088393,28.6211386
906538878,77.3168044,28.6216694
906538879,77.3180623,28.619842
906538883,77.3169036,28.6195042
906538894,77.3057771,28.6224803
906538909,77.3192822,28.6203715
906538917,77.3178716,28.6208194
906538924,77.3072712,28.62357
906538927,77.318364,28.6211317
906538931,77.3087593,28.6234883
906538935,77.3176895,28.6228855
906538938,77.3172708,28.6204643
906538941,77.3172464,28.6177734
906538946,77.3094042,28.6223781
906538948,77.3176845,28.6225137
906538950,77.3169526,28.617816
906538952,77.3163539,28.6247234
906538957,77.3178018,28.6179568
906538959,77.3088957,28.6221795
906538961,77.3068393,28.6232835
906538968,77.3171392,28.622921
906538970,77.3177084,28.6244908
906538971,77.3170396,28.6174988
906538973,77.3175674,28.6196977
906538975,77.3167513,28.6218067
906538976,77.3187663,28.6194944
906538979,77.3055187,28.6220912
906538980,77.3195319,28.6197187
906538983,77.3108315,28.6227059
906538986,77.3159987,28.625169
906538988,77.3081508,28.6236551
906538989,77.3173561,28.6238048
906538991,77.3185099,28.6223906
906538995,77.3095142,28.6226746
906539000,77.304027,28.6221483
906539003,77.3180967,28.6214159
906539013,77.3181794,28.6181152
906539020,77.3170971,28.6223392
906539023,77.3130128,28.6210859
906539024,77.3162837,28.6248989
906539026,77.3173558,28.6185795
906539028,77.3127591,28.6220214
906539045,77.3176992,28.6169422
906539048,77.3164509,28.6211892
906539052,77.3163307,28.6215235
906539057,77.3184455,28.6225589
906539063,77.3194442,28.6183056
906539064,77.3072641,28.6222049
906539065,77.3106918,28.6227674
906539083,77.3165489,28.624781
906539086,77.3159654,28.6188904
906539088,77.3163609,28.6210578
906539089,77.3087003,28.623327
906539090,77.3179669,28.6238101
906539091,77.316952,28.6212881
906539100,77.3086433,28.6231512
906539102,77.3182413,28.6179549
906539103,77.3183647,28.6216981
906539107,77.3174302,28.6252305
906539113,77.3186704,28.616884
906539114,77.3172929,28.6204072
906539125,77.3168115,28.6252251
906539126,77.307843,28.6211876
906539127,77.3177466,28.6223534
906539140,77.3167105,28.6219121
906539143,77.3191163,28.6187539
906539145,77.3189884,28.6211395
906539161,77.3170079,28.6189728
906539162,77.3086322,28.6231064
906539163,77.3188053,28.6216183
906539165,77.3082191,28.6238511
906539166,77.3170878,28.6233758
906539184,77.3159198,28.6190292
906539189,77.3052552,28.6216868
906539198,77.3198834,28.6188
906539204,77.3085846,28.6229339
906539206,77.3178439,28.6241316
906539209,77.318303,28.6177954
906539215,77.3099859,28.6225603
906539216,77.3169952,28.6203201
906539217,77.3178126,28.6221832
906539222,77.3170309,28.6226987
906539223,77.306959,28.6224919
906539224,77.317149,28.6207789
906539225,77.3191341,28.6207587
906539226,77.3177023,28.6176879
906539230,77.3173085,28.6255541
906539231,77.3067658,28.6222963
906539247,77.3186701,28.6182577
906539248,77.31719,28.6258691
906539250,77.3038122,28.6217638
906539263,77.3088404,28.6236919
906539264,77.316796,28.6199737
906539276,77.3150137,28.6209823
906539292,77.3168435,28.6196664
906539305,77.3171971,28.6179024
906539308,77.3152115,28.6213061
906539309,77.313661,28.622158
906539317,77.3057243,28.6223959
906539318,77.3176749,28.6209316
